,id,total_bill,sex,smoker,day,time,size,tip
0,1,16.99,Female,No,Sun,Dinner,2,1.01
1,2,10.34,Male,No,Sun,Dinner,3,1.66
2,3,21.01,Male,No,Sun,Dinner,3,3.5
3,4,23.68,Male,No,Sun,Dinner,2,3.31
4,5,24.59,Female,No,Sun,Dinner,4,3.61
5,6,25.29,Male,No,Sun,Dinner,4,4.71
6,7,8.77,Male,No,Sun,Dinner,2,2.0
7,8,26.88,Male,No,Sun,Dinner,4,3.12
8,9,15.04,Male,No,Sun,Dinner,2,1.96
9,10,14.78,Male,No,Sun,Dinner,2,3.23
10,11,10.27,Male,No,Sun,Dinner,2,1.71
11,12,35.26,Female,No,Sun,Dinner,4,5.0
12,13,15.42,Male,No,Sun,Dinner,2,1.57
13,14,18.43,Male,No,Sun,Dinner,4,3.0
14,15,14.83,Female,No,Sun,Dinner,2,3.02
15,16,21.58,Male,No,Sun,Dinner,2,3.92
16,17,10.33,Female,No,Sun,Dinner,3,1.67
17,18,16.29,Male,No,Sun,Dinner,3,3.71
18,19,16.97,Female,No,Sun,Dinner,3,3.5
19,20,20.65,Male,No,Sat,Dinner,3,3.35
20,21,17.92,Male,No,Sat,Dinner,2,4.08
21,22,20.29,Female,No,Sat,Dinner,2,2.75
22,23,15.77,Female,No,Sat,Dinner,2,2.23
23,24,39.42,Male,No,Sat,Dinner,4,7.58
24,25,19.82,Male,No,Sat,Dinner,2,3.18
25,26,17.81,Male,No,Sat,Dinner,4,2.34
26,27,13.37,Male,No,Sat,Dinner,2,2.0
27,28,12.69,Male,No,Sat,Dinner,2,2.0
28,29,21.7,Male,No,Sat,Dinner,2,4.3
29,30,19.65,Female,No,Sat,Dinner,2,3.0
30,31,9.55,Male,No,Sat,Dinner,2,1.45
31,32,18.35,Male,No,Sat,Dinner,4,2.5
32,33,15.06,Female,No,Sat,Dinner,2,3.0
33,34,20.69,Female,No,Sat,Dinner,4,2.45
34,35,17.78,Male,No,Sat,Dinner,2,3.27
35,36,24.06,Male,No,Sat,Dinner,3,3.6
36,37,16.31,Male,No,Sat,Dinner,3,2.0
37,38,16.93,Female,No,Sat,Dinner,3,3.07
38,39,18.69,Male,No,Sat,Dinner,3,2.31
39,40,31.27,Male,No,Sat,Dinner,3,5.0
40,41,16.04,Male,No,Sat,Dinner,3,2.24
41,42,17.46,Male,No,Sun,Dinner,2,2.54
42,43,13.94,Male,No,Sun,Dinner,2,3.06
43,44,9.68,Male,No,Sun,Dinner,2,1.32
44,45,30.4,Male,No,Sun,Dinner,4,5.6
45,46,18.29,Male,No,Sun,Dinner,2,3.0
46,47,22.23,Male,No,Sun,Dinner,2,5.0
47,48,32.4,Male,No,Sun,Dinner,4,6.0
48,49,28.55,Male,No,Sun,Dinner,3,2.05
49,50,18.04,Male,No,Sun,Dinner,2,3.0
50,51,12.54,Male,No,Sun,Dinner,2,2.5
51,52,10.29,Female,No,Sun,Dinner,2,2.6
52,53,34.81,Female,No,Sun,Dinner,4,5.2
53,54,9.94,Male,No,Sun,Dinner,2,1.56
54,55,25.56,Male,No,Sun,Dinner,4,4.34
55,56,19.49,Male,No,Sun,Dinner,2,3.51
56,57,38.01,Male,Yes,Sat,Dinner,4,3.0
57,58,26.41,Female,No,Sat,Dinner,2,1.5
58,59,11.24,Male,Yes,Sat,Dinner,2,1.76
59,60,48.27,Male,No,Sat,Dinner,4,6.73
60,61,20.29,Male,Yes,Sat,Dinner,2,3.21
61,62,13.81,Male,Yes,Sat,Dinner,2,2.0
62,63,11.02,Male,Yes,Sat,Dinner,2,1.98
63,64,18.29,Male,Yes,Sat,Dinner,4,3.76
64,65,17.59,Male,No,Sat,Dinner,3,2.64
65,66,20.08,Male,No,Sat,Dinner,3,3.15
66,67,16.45,Female,No,Sat,Dinner,2,2.47
67,68,3.07,Female,Yes,Sat,Dinner,1,1.0
68,69,20.23,Male,No,Sat,Dinner,2,2.01
69,70,15.01,Male,Yes,Sat,Dinner,2,2.09
70,71,12.02,Male,No,Sat,Dinner,2,1.97
71,72,17.07,Female,No,Sat,Dinner,3,3.0
72,73,26.86,Female,Yes,Sat,Dinner,2,3.14
73,74,25.28,Female,Yes,Sat,Dinner,2,5.0
74,75,14.73,Female,No,Sat,Dinner,2,2.2
75,76,10.51,Male,No,Sat,Dinner,2,1.25
76,77,17.92,Male,Yes,Sat,Dinner,2,3.08
77,78,27.2,Male,No,Thur,Lunch,4,4.0
78,79,22.76,Male,No,Thur,Lunch,2,3.0
79,80,17.29,Male,No,Thur,Lunch,2,2.71
80,81,19.44,Male,Yes,Thur,Lunch,2,3.0
81,82,16.66,Male,No,Thur,Lunch,2,3.4
82,83,10.07,Female,No,Thur,Lunch,1,1.83
83,84,32.68,Male,Yes,Thur,Lunch,2,5.0
84,85,15.98,Male,No,Thur,Lunch,2,2.03
85,86,34.83,Female,No,Thur,Lunch,4,5.17
86,87,13.03,Male,No,Thur,Lunch,2,2.0
87,88,18.28,Male,No,Thur,Lunch,2,4.0
88,89,24.71,Male,No,Thur,Lunch,2,5.85
89,90,21.16,Male,No,Thur,Lunch,2,3.0
90,91,28.97,Male,Yes,Fri,Dinner,2,3.0
91,92,22.49,Male,No,Fri,Dinner,2,3.5
92,93,5.75,Female,Yes,Fri,Dinner,2,1.0
93,94,16.32,Female,Yes,Fri,Dinner,2,4.3
94,95,22.75,Female,No,Fri,Dinner,2,3.25
95,96,40.17,Male,Yes,Fri,Dinner,4,4.73
96,97,27.28,Male,Yes,Fri,Dinner,2,4.0
97,98,12.03,Male,Yes,Fri,Dinner,2,1.5
98,99,21.01,Male,Yes,Fri,Dinner,2,3.0
99,100,12.46,Male,No,Fri,Dinner,2,1.5
100,101,11.35,Female,Yes,Fri,Dinner,2,2.5
101,102,15.38,Female,Yes,Fri,Dinner,2,3.0
102,103,44.3,Female,Yes,Sat,Dinner,3,2.5
103,104,22.42,Female,Yes,Sat,Dinner,2,3.48
104,105,20.92,Female,No,Sat,Dinner,2,4.08
105,106,15.36,Male,Yes,Sat,Dinner,2,1.64
106,107,20.49,Male,Yes,Sat,Dinner,2,4.06
107,108,25.21,Male,Yes,Sat,Dinner,2,4.29
108,109,18.24,Male,No,Sat,Dinner,2,3.76
109,110,14.31,Female,Yes,Sat,Dinner,2,4.0
110,111,14.0,Male,No,Sat,Dinner,2,3.0
111,112,7.25,Female,No,Sat,Dinner,1,1.0
112,113,38.07,Male,No,Sun,Dinner,3,4.0
113,114,23.95,Male,No,Sun,Dinner,2,2.55
114,115,25.71,Female,No,Sun,Dinner,3,4.0
115,116,17.31,Female,No,Sun,Dinner,2,3.5
116,117,29.93,Male,No,Sun,Dinner,4,5.07
117,118,10.65,Female,No,Thur,Lunch,2,1.5
118,119,12.43,Female,No,Thur,Lunch,2,1.8
119,120,24.08,Female,No,Thur,Lunch,4,2.92
120,121,11.69,Male,No,Thur,Lunch,2,2.31
121,122,13.42,Female,No,Thur,Lunch,2,1.68
122,123,14.26,Male,No,Thur,Lunch,2,2.5
123,124,15.95,Male,No,Thur,Lunch,2,2.0
124,125,12.48,Female,No,Thur,Lunch,2,2.52
125,126,29.8,Female,No,Thur,Lunch,6,4.2
126,127,8.52,Male,No,Thur,Lunch,2,1.48
127,128,14.52,Female,No,Thur,Lunch,2,2.0
128,129,11.38,Female,No,Thur,Lunch,2,2.0
129,130,22.82,Male,No,Thur,Lunch,3,2.18
130,131,19.08,Male,No,Thur,Lunch,2,1.5
131,132,20.27,Female,No,Thur,Lunch,2,2.83
132,133,11.17,Female,No,Thur,Lunch,2,1.5
133,134,12.26,Female,No,Thur,Lunch,2,2.0
134,135,18.26,Female,No,Thur,Lunch,2,3.25
135,136,8.51,Female,No,Thur,Lunch,2,1.25
136,137,10.33,Female,No,Thur,Lunch,2,2.0
137,138,14.15,Female,No,Thur,Lunch,2,2.0
138,139,16.0,Male,Yes,Thur,Lunch,2,2.0
139,140,13.16,Female,No,Thur,Lunch,2,2.75
140,141,17.47,Female,No,Thur,Lunch,2,3.5
141,142,34.3,Male,No,Thur,Lunch,6,6.7
142,143,41.19,Male,No,Thur,Lunch,5,5.0
143,144,27.05,Female,No,Thur,Lunch,6,5.0
144,145,16.43,Female,No,Thur,Lunch,2,2.3
145,146,8.35,Female,No,Thur,Lunch,2,1.5
146,147,18.64,Female,No,Thur,Lunch,3,1.36
147,148,11.87,Female,No,Thur,Lunch,2,1.63
148,149,9.78,Male,No,Thur,Lunch,2,1.73
149,150,7.51,Male,No,Thur,Lunch,2,2.0
150,151,14.07,Male,No,Sun,Dinner,2,2.5
151,152,13.13,Male,No,Sun,Dinner,2,2.0
152,153,17.26,Male,No,Sun,Dinner,3,2.74
153,154,24.55,Male,No,Sun,Dinner,4,2.0
154,155,19.77,Male,No,Sun,Dinner,4,2.0
155,156,29.85,Female,No,Sun,Dinner,5,5.14
156,157,48.17,Male,No,Sun,Dinner,6,5.0
157,158,25.0,Female,No,Sun,Dinner,4,3.75
158,159,13.39,Female,No,Sun,Dinner,2,2.61
159,160,16.49,Male,No,Sun,Dinner,4,2.0
160,161,21.5,Male,No,Sun,Dinner,4,3.5
161,162,12.66,Male,No,Sun,Dinner,2,2.5
162,163,16.21,Female,No,Sun,Dinner,3,2.0
163,164,13.81,Male,No,Sun,Dinner,2,2.0
164,165,17.51,Female,Yes,Sun,Dinner,2,3.0
165,166,24.52,Male,No,Sun,Dinner,3,3.48
166,167,20.76,Male,No,Sun,Dinner,2,2.24
167,168,31.71,Male,No,Sun,Dinner,4,4.5
168,169,10.59,Female,Yes,Sat,Dinner,2,1.61
169,170,10.63,Female,Yes,Sat,Dinner,2,2.0
170,171,50.81,Male,Yes,Sat,Dinner,3,10.0
171,172,15.81,Male,Yes,Sat,Dinner,2,3.16
172,173,7.25,Male,Yes,Sun,Dinner,2,5.15
173,174,31.85,Male,Yes,Sun,Dinner,2,3.18
174,175,16.82,Male,Yes,Sun,Dinner,2,4.0
175,176,32.9,Male,Yes,Sun,Dinner,2,3.11
176,177,17.89,Male,Yes,Sun,Dinner,2,2.0
177,178,14.48,Male,Yes,Sun,Dinner,2,2.0
178,179,9.6,Female,Yes,Sun,Dinner,2,4.0
